frame,sharpness,glare,contrast,entropy,edge_density,mean_brightness,saturation
../Frames_Altered/ACS_10darken_full_frame71.jpg,1020.0687271408005,0.0,43.60857008510321,4.669896428401951,0.19425953052662037,61.60162003128617,86.75265197753906
../Frames_Altered/CRG_15blur_full_frame102.jpg,7.948635185552515,0.10970911096643518,63.84353592931657,3.168343752478886,0.001481910988136574,155.30925281665944,49.1012626365379
../Frames_Altered/ACS_50lighten_full_frame137.jpg,1899.7094289432998,0.1041836208767361,57.45046294105207,4.874854077826789,0.22447102864583332,148.46151823820892,37.776027538158274
../Frames_Altered/ACS_10darken_full_frame94.jpg,910.6899382266829,0.0,43.316663484402056,4.6627206109148815,0.1927104808666088,61.798809927481194,86.23988896122685
../Frames_Altered/ACS_50lighten_full_frame91.jpg,1627.8165990710038,0.1176990650318287,58.32859724724623,4.837070063225626,0.2195118091724537,150.36877837004485,37.486855626989296
../Frames_Altered/ACS_50lighten_full_frame27.jpg,1753.505706766568,0.11588959870515046,58.06790782326574,4.868859121674425,0.22370017722800925,150.46532875343604,36.90612747757523
../Frames_Altered/ACS_50darken_full_frame145.jpg,768.9273728595311,0.0,30.588743428209664,4.501213624152173,0.14638920536747685,35.85921913429543,98.37229546440972
../Frames_Altered/ACS_50darken_full_frame97.jpg,770.5261783923922,0.0,31.142353345783047,4.514437002103687,0.1481048583984375,36.698571325231484,96.61881160029658
../Frames_Altered/CRG_15blur_full_frame13.jpg,8.412680166131873,0.10990363226996527,62.8219903691186,3.216060827271112,0.0015699598524305555,157.44737458405672,49.38172641330295
../Frames_Altered/ACS_10darken_full_frame102.jpg,879.5499769291896,0.0,42.93943025503242,4.665097672828699,0.1913341380931713,61.348610432942706,85.56881171332465
../Frames_Altered/CRG_15blur_full_frame6.jpg,8.182254818515206,0.10827071578414352,62.61330168645483,3.195327270691566,0.0015528926142939815,157.5298381664135,49.59050892017506
../Frames_Altered/ACS_50darken_full_frame1.jpg,830.8400827248663,0.0,30.805048847190555,4.563130047155511,0.15336586281105324,36.20145003707321,96.56397286874277
../Frames_Altered/ACS_10darken_full_frame78.jpg,827.9476885721637,0.0,43.68247678062645,4.6618362164355664,0.18952681929976853,62.33522372775607,85.44677689163773
../Frames_Altered/ACS_10darken_full_frame39.jpg,925.0810684255149,0.0,43.417919787114215,4.697666669309793,0.19638050220630787,62.08212257667824,85.42165165653935
../Frames_Altered/ACS_50lighten_full_frame3.jpg,1491.8968245797496,0.10639309353298611,57.18950642518726,4.858314688400182,0.2078426784939236,149.92893834997108,37.667047571252894
../Frames_Altered/BRA_30darken_full_frame145.jpg,447.7597644779884,0.0,28.456149225971835,3.7851091205128626,0.11070567943431713,26.09169526276765,120.6066973650897
